Con,Contp,PP,PPName,Reg,AgtId,Ver,Agt,Dat,Status,Lgt,N_characters,Stage,StageSub,Part,ThrdPart,OthAgr,Loc1ISO,Loc2ISO,Loc1GWNO,Loc2GWNO,UcdpCon,UcdpAgr,PamAgr,CowWar,Interim,PT_FSP,PT_ISP,PT_IPP,PT_UTE,LinkNatProcess,LocaleName,LocaleNat,LatDec,LongDec,Mediator,MedCentState,MedRegState,MedLocState,MedLocArmed,MedReDomEld,MedLocCivSoc,MedIntActor,MedOtherUnclear,CentState,RegState,LocState,LocArmedGr,ReDomEld,LocComSoc,IntActor,OthActor,RitPray,Grieve,Cattle,Cover
Libya,Inter-group,72,Libyan local processes,Middle East and North Africa,2221,2,Closing statement from the reconciliation meeting between Zintan and Zawiyya,17/04/2018,Multiparty signed/agreed,1,1800,SubPar,MultIss,"People of Zintan and Zawiyyah
Two signatories, signed and stamped.",,,LBY,,620,,11346,,,,No,0,0,1,0,1,"Zintan, Zawiyah",Region,32.542742,12.282323,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
Libya,Inter-group,72,Libyan local processes,Middle East and North Africa,2102,2,Statement by the Council of Tebu Tribes to Coordinate and End the Crisis in Sabha,09/04/2018,Unilateral document,1,1119,Cea,Ceas,Council of the Tebu Tribes to Coordinate and End the Crisis in Sabha,,,LBY,,620,,11346,,,,No,1,0,0,0,1,Fezzan,Region,27.038389,14.427959,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
Libya,Inter-group,72,Libyan local processes,Middle East and North Africa,2139,2,Statement from The Supreme Council of the Tribes and Cities of Fezzan calling for a Ceasefire,07/04/2018,Multiparty signed/agreed,1,2755,Cea,Rel,"the prominent figures and sheikhs of Fezzan;
Supreme Council of the Tribes and Cities of Fezzan",,,LBY,,620,,11346,,,,No,0,0,1,0,1,Fezzan,Region,27.380364,12.78001,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
Libya,Inter-group,72,Libyan local processes,Middle East and North Africa,2488,7,Reconciliation Charter between Tebu and Zway Tribes from Kufra,20/02/2018,Multiparty signed/agreed,4,8406,Pre,Prin,No signatures,,,LBY,,620,,11346,NA,NA,NA,No,1,0,0,0,1,Kufra,Region,24.20348,23.286316,"There is no signature in the text of the agreement. However, according to UNSMIL sources, the Reconciliation Agreement was signed after a two-day meeting in Tunis, organized by UNSMIL with the support of UNDP. ",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1
Libya,Inter-group,72,Libyan local processes,Middle East and North Africa,2142,2,Statement of the Fezzan Forum for Libya,20/02/2018,Multiparty signed/agreed,2,5115,SubPar,MultIss,"""We, the people of Fezzan, from all of the different components, groups, and parts""",,,LBY,,620,,11346,NA,NA,NA,No,0,0,1,0,1,Fezzan,Region,25.37263,13.834697,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1
Libya,Inter-group,72,Libyan local processes,Middle East and North Africa,1955,2,Reconciliation Agreement between the Zintan and Mashashiyya Tribes,18/05/2017,Multiparty signed/agreed,2,4433,SubPar,MultIss,"Mashashiyya Tribe[13 signatories] 
Reconciliation Council [4 signatories] 
Zintan Tribe [9 signatories] 
Al-Qantrar [7 signatories] 
Neighbouring Areas [3 signatories] 

The reconciliation council is comprised of:  
Warfallah Tribe, Tarhunah Tribe, Gharyan Tribe, Gadhdhafiyya Tribe, Sa’iyan, Rajban, Jadu, al- Asabi’ah, al-Ruhaybat, al-Qawalish, al-Hawamid, al-Zuwayyah Tribe, Burqah Tribes. ",,,LBY,,620,,11346,,,,No,1,0,0,0,1,"al-‘Awiniyya, ‘Umur, Zawiyya",Region,32.431756,12.533279,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
Libya,Inter-group,72,Libyan local processes,Middle East and North Africa,2222,2,Final Agreement between Zintan and Mashashiyya,18/05/2017,Multiparty signed/agreed,2,4737,SubPar,MultIss,"The reconciliation committee is made up of the following areas: Wirfala, Tarhunah, Ghriyan, al- Qadhadhifah, Al Say’an, Al Rajbam, Jadu, al-Asabi’ah, Al Wijaibat, Al Fawalish, al-Hawamid, al- Zawiyyah, and the tribes of Barqah. 

Agreement does not have signatories, but is approved by the head of the committee.",,,LBY,,620,,11346,,,,No,1,0,0,0,1,"al-Awinah, Awmar, Zawiyyah al-Baqoul, Mizdah",Region,32.496052,12.567581,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
Libya,Inter-group,72,Libyan local processes,Middle East and North Africa,1954,2,Reconciliation Agreement between Tebu and Awlad Sulaymen,29/03/2017,Multiparty signed/agreed,2,3447,SubPar,MultIss,"Al-Zaylawi Mina Salih Qilma 
Sheikh of the Tebu Tribe 

Al-Sanusi Mas’ud Amr 
President of the Shurah Council of the Awlad Sulayman Tribe 

M. Abd al-Salaam S’ad Kaajmaan 
Deputy of the Presidential Council of the GNA 

Mr. Marco Minetti 
Foreign Minister of the Italian Republic ",,,LBY,,620,,11346,,,,No,1,0,0,0,1,Sabha ,Region,27.040306,14.42571,Italian Republic ,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1
Libya,Government,70,Libyan peace process,Middle East and North Africa,1952,2,Statement on the Current Events in the Capital Tripoli,15/03/2017,Multiparty signed/agreed,1,1954,Cea,Ceas,"The Presidential Council, the Defence Minister, the Interior Minister, the Command of the Presidential Guard, all the deans of the municipalities of Misurata, Central Tripoli and Souq al-Juma’a, the Security Director of Tripoli, the Command of the Military Area of Tripoli, the Supreme Council for Reconciliation of Greater Tripoli, the Council of Elders for Consultation and Reform of the Municipality of Misurata and a number of commanders of the brigades of Tripoli and Misurata.",,,LBY,,620,,11346,NA,NA,NA,No,1,0,0,0,1,Tripoli,City,32.886894,13.188079,UN-installed Presidency Council ,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0
Libya,Inter-group,72,Libyan local processes,Middle East and North Africa,1951,2,Points of Initial Agreement (Abu Salim Ceasefire),25/02/2017,Multiparty signed/agreed,1,1989,Cea,Ceas,Council of Chairmen and the Abu Salim Municipal Council,"In attendance was H.E. the Minister of Defence and H.E. the Minister of Health, the  Director of Operations, the Head of the Presidential Guard and his assistants, the Director of Security for Tripoli, Leaders of Tripoli, Tawjura, Ayan Tarhounah, Gharyan, and the High Council for Reconciliation in Greater Tripoli.",,LBY,,620,,11346,,,,No,1,0,0,0,1,Abu Salim Military Prison,Smaller,32.83355,13.173835,The Council of Chairmen and the Abu Salim Municipal Council,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0
Libya,Inter-group,72,Libyan local processes,Middle East and North Africa,1953,2,"Agreement of Social Honour for the Tribes of Tarhūnah, and the Tribes of Ghriyān, Mashāshiyyah, al-Qal’ah, Yafrin, Jādū, Kābāw, Nālūt and Wāzin
",08/02/2017,Multiparty signed/agreed,2,8434,SubPar,MultIss,"The tribes of Tarhūnah, and the tribes of Ghriyān, Mashāshiyyah, al-Qal’ah, Yafrin, Jādū, Kābāw, Nālūt and Wāzin.  
1- Sālih Salim Fāndī  Coordinator of the Sheikh Council of Tarhūnah  2- Al-Nafīshī ‘Abd al-Salām ‘Abd al-Mā’i’  Member of the Sheikh Council of Tarhūnah  3- Al-Mukhtār ‘Alī Yūnis  President of the Social Communication Authority of Ghriyān  4- Al-Bahlūl al-Jiyāsh  Deputy President of the Communication Authority of Ghriyān  5- Muhammad Āhmad Āmuhammad Zuhmah  Member of the Consultative Council of Mashāshiyyah  6- ‘Abd al-Mawalī Ībrahīm Ābu Shūshah  Member of the Consultative Council of Mashāshiyyah  7- Mahī al-Din ‘Abd Āllah Ākhzām  Member of the City Council of al-Qal’ah  8- Āhsīn ‘Abd Āllah Āsulaymān  The Consultative Council of al-Qal’ah  9-  10- 11- ‘Abd al-Salām Sulaymān Mu’arif  Member of the City Council of Jādū  12- Yūsif Sāsī Zambīlah  Member of the Consultative Council of Jādū  13- Ma’yūf Mas’ūd Halāsah  Notable of Kābāw  14- Tāriq Sa’īd ‘Umar  Notable of Kābāw  15-  16-  17- Sālim Āmuhammad al-Faqī  President of the Council of Elders of Wāzin  18- Nūrī Āhmad ‘Āshūr  Notable of Wāzin ",,,LBY,,620,,11346,,,,No,0,0,1,0,1,"Tarhūnah, Ghriyān, Mashāshiyyah, al-Qal’ah, Yafrin, Jādū, Kābāw, Nālūt, Wāzin",Region,32.433465,13.63736,,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1
Libya,Inter-group,72,Libyan local processes,Middle East and North Africa,2079,2,Accord and Peaceful Coexistence Document Between the Al Qadhadhfa Tribe and the Awlad Sulayman Tribe,04/12/2016,Multiparty signed/agreed,2,6414,Cea,CeaMix,"Conflict Resolution Committee;
Awl Sulayman Tribe
Al Qadhadhfa Tribe","Mediators: a delegation from the Warfalla Bani Walid, a delegation from the Barqah (Cyrenaica) tribes, a delegation from the dignitaries of the Friday Market, prominent figures from the middle region, a delegation from Tarhuna, and a delegation from Zintan","second agreement, which was signed between the two sides on 25/11/2016",LBY,,620,,11346,,,,No,1,0,0,0,0,NA,Region,27.039494,14.424207,"Delegations from the tribes and the areas targeted by the agreement, along with prominent figures of the central region",0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
Libya,Inter-group,72,Libyan local processes,Middle East and North Africa,1973,2,"Minutes of Misrata-Tawagha Agreement on the Return of Displaced Persons and Compensation for those Affected
",31/08/2016,Multiparty signed/agreed,5,11734,SubPar,MultIss,"Signature of the President of the Dialogue Committee of Misrata  Name/ [Illegible] Signature/ [Illegible] Date/ [Illegible]  

Signature of the President of the Dialogue Committee of Tawagha  Name/ [Illegible] Signature/ [Illegible] Date/ [Illegible]  

Approval of the City Council of Misrata  Name/ Signature/ Date/ [No signature] 

Approval of the Local Council of Tawagha  Name/ Signature/ Date/ [No signature] ",Ratification of the Libyan State  Name/ Signature/ Date/ [No signature],"statement and sheikhs of the people of the tribes of Tawagha, the tribes that inhabit them and the Provisional Facilitation Council of the city of Tawagha - dated 23 February 2012;  road map dated 18 December 2015; on the meeting of the Deferred Security Arrangements held on 8 December 2015",LBY,,620,,11346,,,,No,1,0,0,0,1,"Misrata, Tawergha",Region,32.2056,15.087264,The Libyan State,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
Libya,Inter-group,72,Libyan local processes,Middle East and North Africa,2078,2,Fezzan Humanitarian Agreement,16/06/2016,Status unclear,1,2392,Pre,Conf,,"The Community of Sant'Egidio [signed];
[11 additional signatories]",,LBY,,620,,11346,NA,NA,NA,No,1,0,0,0,1,Fezzan,Region,27.040545,14.424906,Community of Sant’Egidio,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0
Libya,Inter-group,70,Libyan peace process,Middle East and North Africa,2013,2,"Joint declaration of the representatives of Touareg and Tebou tribes in 4 points supporting the Presidency Council of the Government of National Agreement which recently took office in Tripoli
",21/04/2016,Multiparty signed/agreed,2,2469,Pre,PreOth,"National Movement of the Touareg Youth in the South: Aboubakr Akhat Mohammed Al-Amin;
High Revolutionary Council of the Tebou in the South: Mabruk Jomode Elie Getty",Sant'Egidio,in the documents signed in Doha on the 22 November 2015 and in Rome on the 28 November 2015,LBY,,620,,11346,,,,No,1,0,0,0,1,NA,Region,32.884845,13.19074,Sant'Egidio,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Libya,Inter-group,72,Libyan local processes,Middle East and North Africa,1566,2,Humanitarian Appeal for Benghazi,16/03/2016,Multiparty signed/agreed,2,8520,Pre,PreOth,Halimah Abdelmatloub; Sherif Abuzakouk; Aisha Agouryl Abdalla Aguilah; Naeima Aissa; Nuri Al Abbar; Khaled Al Agily; Soliman Mahmud Al Bassi; Awad Ibrahim Al Brassi; Morad Al Honi; Abdeljalil Al Rhamouk; Ziad Ballam; Jamal Belnour; Abdulmenem Ben Dardf; Abubakr Buera; Amel Bugaguis; Eman Bugaguis; Fawzi Bukatef; Mohamed Bukheyt; Lamia Busedra; Ahmed Busneinah; Muhammed Faraj Doghaim; Aminah Drsy; Attiyah Edreinah; Mansour El Ammary; Fathallah El Barani; Salem El Barani; Abdulsalam Mohammed El Basyouni; Nisreenn El Bishari; Nouh Isbak El Fakhry; Issam El Fallah; Omelez El Farsi; Abdelsalam El Farsi; Anwar El Feitori; Mohamed El Ferjani; Ahmed El Gasir; Aminah El Gehani; Munem Mohammad El Gumati; Abdel Hamid El Khodar; Wanis El Mabrook; Emhamed El Magherby; Sheib El Majbari; Hussam El Majri; Abdulmenem Hassan El Manfi; Fadelallah El Mehdi; Khalil El Mismary; Moeimen El Obeidi; Giumma El Omami; Muftah Issa El Qatrani; Labib El Ramli; Mohamed El Senoussi; Jalah El Shweihdi; Marwan El Tashani; Mohamed El Taynaz; Ammani El Zwei; Mona Esswed; Abdelgader Gadoura; Allam Hassan; Abir Imneinah; Jamila Issaoui; Naeima Jebril; Mehdi Kashbur; Tarek Khalil Lamloum; Salem Lengui; Halima Magharby; Idriss Mismary; Esam Omeish; Mohamed Omeish; Tarek Awad Orfi; Abdulhafid Muftah Rajab; Nassralah Saadi; Merei Salem; Ali Sallabi; Issam Tajoury; Muhammad Ammari Zaid; Fawzi Zairi.,,,LBY,,620,,11346,,,,No,0,0,1,0,1,Benghazi,City,32.099773,20.094846,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
Libya,Inter-group,72,Libyan local processes,Middle East and North Africa,1956,2,Draft agreement of Western Tribal elders on the battle of al-Zawiyya,31/01/2016,Multiparty signed/agreed,1,1205,Cea,Ceas,"Reconciliation Committee; 

High Council for Reconciliation of Kiklah, Jadu, al-Waritah, al-Qitharah, al-Qisar, al-Ziwarah, al-Jamil, Sarman, Sibratah, Raqdalin, Zultan, al-‘Ajilat, al- Mashashiyya, al-Say’an, al-Juwamid, Hakma’, ‘Ain Zarah, and al-Islaba’ah. ",,,LBY,,620,,11346,,,,No,1,0,0,0,0,al-Zawiyyah,City,32.761875,12.730607,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
Libya,Government,72,Libyan local processes,Middle East and North Africa,1512,1,Minutes of the Disengagement Agreement and Truce between the areas of Warshafānah and al-Zāwiyyah ,12/11/2015,Multiparty signed/agreed,2,4235,Cea,Rel,"Committee of the Warshafānah Area:
1.	Chancellor Nājī ‘Asha
2.	Salīm al-Dawārī
3.	Al-Sādiq ‘Āshūr Hamām
4.	Īsmā’īl Jam’ah Ābū Halalah
5.	‘Abd al-Salām Ramadān Ābū ‘Amīd
6.	Muhammad Shatyawi Ghawar
7.	Al-Mansūrī Muhammad ‘Awīdāt
Committee of the al-Zāwiyyah Area
1.	Al-Mahdī ‘Alī al-Shāwish
2.	Muhammad al-Bahlūl Ābū Khadīr
3.	‘Amād Mīlūd Sultān
4.	Zahīr Muhammad al-Dūbalī
5.	Muhammad Hussayn al-Khudrāwī
6.	Muhid Ābū ‘Ajīlah Suwīsī
7.	Khayr Mustafah Ajīnah
Quartet Commission for Dialogue and Agreement
First – The Commission for Dialogue and Communication in al-Zintān
1.	‘Alī Ābū al-‘Īd Ramadān
2.	‘Abd Āllah ‘Āhmad ‘Abd Āllah 
3.	Muhammad ‘Āhmad Daqālī
4.	Al-Sādiq Rahmūdah Shamiyyah
5.	Al-Hādī Āmuhammad al-‘Amiyānī
6.	Sālih Sa’ad al-Dhīb
7.	Al-Ramāh Muhammad al-Duhanūs
8.	Sh’abān al-‘Amiyānī ‘Āhmad
9.	‘Abd al-Qādr ‘Alī al-Numur

Second – The Committee of al-Rajabān and al-‘Āsab’ah
1.	Mus’ūd Hussayn al-Madhūnī
2.	Āmuhammad ‘Abd Āllah al-Ābyad
3.	Muhammad al-Marzūqnī al-Malālī
4.	Salīm ‘Abd al-Qādr
5.	Mus’ūd ‘Abd Āllah al-Turkī
6.	Āmuhammad ‘Abd Āllah Ābū al-Sh’ālah
7.	‘Alī Khalīfah Zahmūl
8.	Āmuhammad Mu’ammar al-Tarjamān
9.	‘Āhmad Muhammad ‘Āhmad al-Hamarūnī
10.	Sulaymān ‘Abd al- Salām
",,,LBY,,620,,11346,,,,No,1,0,0,0,1,NA,Region,32.800358,12.900343,,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0
Libya,Inter-group,72,Libyan local processes,Middle East and North Africa,2219,2,Pledge of Agreement and Peaceful Coexistence Between Zintan and Zuwara,29/06/2015,Multiparty signed/agreed,2,3543,Cea,Ceas,"- First Party: Named Zuwara and represents Greater Zuwara
- Second Party: Named Al Zintan and represents the tribes of Al Zintan
The wise men and elders of both sides, represented by the Committee for Dialogue and Reconciliation that is made up of both sides... 

Zintan Committee:

Saud Ali Muhammad Karash
al-Ramah Muhammad al-Dahnus
al-Mabruk al-Tahir Aburaqiqa
Musa Amr al-Qib
al-Sadiq Arhumah Ashissa
Salea Saad al-Duwib Amr


Zuwara Committee:

al-Tahir al-Sanoussi Yusef
Issa Said Salim
Ibrahim Ibrahim Jabara
Abd al-Aziz Musa al-Qurawi
Manji Muhammad al-Mansuri
Wasim Fathi 'Ashini ",,,LBY,,620,,11346,,,,No,1,0,0,0,1,"Zintan, Zuwara",Region,32.433744,12.12642,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
Libya,Inter-group,72,Libyan local processes,Middle East and North Africa,2220,2,"Agreement to stop the bloodshed and open the door to dialogue in the Western Region
",16/06/2015,Multiparty signed/agreed,2,4657,Cea,Ceas,"The Municipal Council, Military Council and Elders, Dignitaries and Shura Council from 5 municipalities: al-Rajaban, al-Zintan, Sibratahm Surman and al-Ajilat.",,,LBY,,620,,11346,,,,No,0,0,1,0,1,Western Region ,Region,32.423055,12.026596,,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0
Libya,Inter-group,72,Libyan local processes,Middle East and North Africa,1892,1,"Statement by the Martyrs Brigade in Zawiyat al-Mahjoub regarding the ceasefire agreement in Aziziyyah and the latest developments in and near Tripoli
",26/04/2015,Multiparty signed/agreed,2,2286,Cea,Ceas,9 Brigades linked to the Martyrs Brigade of Zawiyat al-Mahjoub.,,,LBY,,620,,11346,,,,No,0,0,1,0,1,al-Aziziyyah,City,32.531867,13.02116,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
Libya,Inter-group,72,Libyan local processes,Middle East and North Africa,2076,2,Final Communique: Comprehensive Dialogue for Calm and Peace in the Nafusa Mountains,19/03/2015,Status unclear,2,4068,Pre,PreOth,"""The elders, prominent figures, sheikhs, and activists of the Nafusa Mountains""",,,LBY,,620,,11346,NA,NA,NA,No,1,0,0,0,1,Nafusa Mountains ,Region,31.865991,11.793643,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1
Mali,Inter-group,153,Mali Local Processes,Africa (excl MENA),2381,6,"Agreement between the Dogon, Dafing and Fulani communities in the communes of Diallassagou, Koulogon Habe, Lassagou Habe, Segue, Soubala, Sokoura and Tori",07/02/2021,Multiparty signed/agreed,6,13139,SubPar,MultIss,"Pour la communauté dogon
1- Dramane DAMANGO [signature] Chef de village de Diallassagou
2- Allaye GANA [signature] Chef de village de Lessagou
3- Christoph GUINDO [signature] Conseiller au chef de village de Ségue
4- Moussa TOGO [signature] Chef de village de Soubala
5- Elie DJIBO [signature] Conseiller au chef de village de Koulongon
6- Antimé YOSSI [signature] Représentant chef de village de Tori
7- Daouda TOGO [signature] Leader Jeunesse Diallassagou
8- Drissa GANA [signature] Chef de village Lessagou
9- Moumouni ARAMA [signature] Chef de village Koumé
10- Abdoulaye TOGO [signature] Leader communautaire Tori

Pour la communauté Dafing
1- Ousmane KOUMARE [signature] 1er adjoint au maire Sokoura
2- Mamadou BARRO [signature] Chef de village Bansé
3- Lassina KENDE [signature] Chef de village Tanga
4- Fodé SERY [signature] Chef de village Yira
5- Diakaridia ROME [signature] Chef de village Ganida
6- Yaya TRAORE [signature] Elu communal Sokoura
7- Seydou KOUAMARE [signature] Représentant RECOTRAD
8- Issouf SENOU [signature] Chef de village Sokoura
9- Adama BARRO [signature] Président de la jeunesse
10- Mamadou SERY [signature] Représentant des religieux

Pour la communauté peuhl
1- Amadou SANKARE [signature] Elu communal Lankanou
2- Mamoudou SANKARE [signature] Elu communal Boundou Eyourou
3- Bareïma SANKARE [signature] Leader communautaire Madina 
4- Allaye SANKARE [signature] Leader communautaire Ouenkorowel
5- Aliou SANKARE [signature] Leader communautaire Ouro Boudou
6- Mody DIAGAYETE [signature] Elu communal Koumé Peul
7- Aliou DIAGAYETE [signature] Jeune leader Kourkanda Peuhl
8- Boukari DIAGAYETE [signature] Elu communal Ouandiana Peuhl
9- Allaye DIAGAYETE [signature] Jeune leader Sounfounou Peuhl
10- Housseini DIALLO [signature] Leader communaitaire Koulougon Peuhl","1st witness
Boubacar YOSSI [signature] Chef de village Tori

2nd witness 
Nouhoum SANKARE [signature] Imam Mana

3rd witness
Timothée SOMBORO [signature] [stamp] Chef de village Ségue

4th witness
Idrissa SANKARE [signature] Ex député de Bankass

[unsigned mediator: HD Centre for Humanitarian Dialogue and Monobem association]","Page 2,
Preamble
Being keen to reinforce initial agreements between the above communities mediated by HD in June 2020, as well as agreements made during preparatory meetings between the communities mediated by HD on 23rd September in Bandiagara with the Dogon and Dafing communities, on 5th and 6th November 2020, with women, on 7th and 8th in Bankass, with the leaders of the Fulani communities from the 4 cercles on 10th October in Sevare, with the hunters of Bankass on 21st December in Bankass and with the Fulani communities of Bankass on December 23rd in Sevare;",MLI,,432,,NA,NA,NA,NA,No,1,0,0,0,0,Diallassagou,City,13.741986,3.626754,"[unsigned mediator: HD Centre for Humanitarian Dialogue and Monobem association]

Page 2, Preamble
Having met in Tori and Diallassagou on the 5th and 7th February 2021 for a mediation, which has been facilitated since June 2020 by the Centre for Humanitarian Dialogue;",0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0
Mali,Inter-group,153,Mali Local Processes,Africa (excl MENA),2367,5,Peace Agreement between the Dogon & Peulh communities of Madougou and Barapirely,24/01/2021,Multiparty signed/agreed,6,10824,SubPar,MultIss,"For the Dogon community:
Atoye Doumbo, head of village of Materou
Mamoudou Perou, counsellor at Bande 
Moussa Goro, head of village of Madougou 
Hamidou Kodio, counsellor at Madougou 
Souleymane Kodio, representative of the head of villahe of Kassawan Da
Yessa Goro, head of village of Domino Sogou 
Mohamed Kodio, head of village of Anana
Issa Dougnon, head of village of Barapirely 
Issiaka Poudiougo, head of village of Ourokoun
Timothee Dougnon, head of village of Anakanda 
Hamidou Dougnon, head of village of Nagadourou 

For the Fulani community: 
Mamoudou Barry, head of village of Binedama 
Daouda Barry, head of village of Naye 
Hamidou Barry, head of village of Madougou Peulh 
Moussa Djoune Barry, head of village of Karakinde 
Aliou Kodjou Barry, counsellor at Naye 
Bangole Barry, counsellor at Madougou Peulh 
Aliou Hamadoun Barry, head of village of Bombou 

","Witnesses
First witness: Allaye Teme, first vice-president of Monobem 
Second witness: Saidou Dama, representative of Haut Conseil Islamique (High Islamic Council of Mali)
Third witness: Nouh Djeme, first vice-president of Recotrade 


[Unsigned: mediators from the HD Centre]",,MLI,,432,,,NA,NA,NA,No,1,0,0,0,1,Koro Circle,Region,14.36004722,-3.086572869,"The HD Centre was instrumental in bringing the representatives of the villages together in talks. Further, their announcement of the signing notes that ""These agreements are part of the mediation framework implemented by HD – also known as the Henry Dunant Centre – as mandated by the Office of the Prime Minister of Mali and with the financial support of the Government of Canada.""",1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0
Mali,Inter-group,153,Mali Local Processes,Africa (excl MENA),2368,5,"Peace agreement between the Dogon & Peulh communities of Dougoutènè I, Dougoutènè II, Koporo Kendié Na, Koporo Pen, Pel Maoudé and Youdiou
",22/01/2021,Multiparty signed/agreed,9,12506,SubPar,MultIss,"Signatories of the Agreement:
For the Dogon community:

1- Amadou TOGO
Koporo Na village chief
 

2- Abdina TOGO
Temena village chief

3- Eguelou POUDIOUGO
Wol-Maoudé village chief

4- Amadou TOGO
Toroli village chief


5- Souleymane TOGO
 Babouro village chief


6- Boukary POUDIOUGO
Dongonley Village Chief

7- Harouna POUDIOUGO 
Youdiou village chief
         
8- Soumaïla SAGARA
Ogodengou village chief

9- Allaye TOGO
Oropa village chief

10- Elysée TOGO
Koporo Pen village chief

11- Boureïma GUINDO
Samani village chief

12-Amadou Dougnon
Géourou village chief


13- Oumar Kéné TOGO 
Village chief of Baragnolé

14-Oumar TOGO
Temegolo village chief

15- Amadou TOGO
Pel village chief

16- Yacouba TOGO
Andiangana village chief


17- Moussa TOGO
Village chief of Koromatintin

18-Martin TOGO
Bondo Tena village chief

For the Peulh community

1- Abdoulaye BARRY
Village chief of Birga Peulh

2- Hamadoun BARRY
Advisor to Birga Peulh

3- Aly KOITA
Advisor to Birga Peulh

4- Boukary BARRY
The village chief of Deri

5- Allaye Bolo BARRY
Advisor to Deri

6- Souleymane BARRY
Advisor to Deri

7- Oumar BARRY 
Chalouguel Belco village chief


8- Djibrilou BARRY
Chalouguel Issa village chief

9- Allaye Béni BARRY
Guéourou village chief

10- Amadou Guidado BARRY
Ardjine village chief

11- Allaye BARRY
Advisor to Anakaka Peulh
                   
12-EI Hadji BARRY
Advisor in Guéourou","Witnesses
Allaye TEME 
1 st Vice-president Monobèm 

Saidou DAMA
The representative of the High Islamic Council

Witness Nouh DJEME
1 st Vice-president RECOTRADE 

Amadou Sidiki Togo 
President of the youth coordination

[unsigned, but noted in agreement text, Page 2: HD Centre for Humanitarian Dialogue]","Page 1: 
the peace agreement between the Dogon and Peulh communities of Koro signed in August 2018, following the unilateral ceasefire of Dana Amassagou facilitated by the Center for Humanitarian Dialogue and the reciprocal commitment of the Peulh community.
",MLI,,432,,,NA,NA,NA,No,1,0,0,0,1,Koro Circle,Region,14.19704537,-3.235685374,"The HD Centre was instrumental in bringing the representatives of the villages together in talks. Further, their announcement of the signing notes that ""These agreements are part of the mediation framework implemented by HD – also known as the Henry Dunant Centre – as mandated by the Office of the Prime Minister of Mali and with the financial support of the Government of Canada.""",1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0
